country,rate_wb,year_wb,rate_itu,year_itu,users_cia,year_cia
new caledonia,82.0,2017,82.0,2017,237800.0,2021
new zealand,95.7,2021,95.7,2022,4896000.0,2021
nicaragua,61.1,2022,61.1,2022,3933000.0,2021
niger,16.9,2022,16.9,2022,5500000.0,2021
nigeria,35.5,2022,35.5,2022,115500000.0,2021
north macedonia,84.2,2022,84.2,2022,1743000.0,2021
norway,99.0,2021,99.0,2023,5346000.0,2021
oman,97.9,2022,95.3,2023,4320000.0,2021
pakistan,33.0,2022,32.9,2022,48300000.0,2021
panama,73.6,2022,73.6,2022,2992000.0,2021
papua new guinea,27.0,2022,27.0,2022,3168000.0,2021
paraguay,78.1,2023,78.1,2023,5159000.0,2021
peru,74.7,2022,74.7,2022,24140000.0,2021
philippines,75.2,2022,75.2,2022,,2024
poland,86.9,2022,86.4,2023,32300000.0,2021
portugal,85.8,2023,85.8,2023,8200000.0,2021
puerto rico,87.3,2022,87.3,2022,2564100.0,2021
qatar,100.0,2021,100.0,2022,2700000.0,2021
republic of the congo,36.3,2022,36.2,2022,1794390.0,2021
romania,89.2,2023,89.2,2023,15960000.0,2021
russia,92.3,2023,92.2,2023,132000000.0,2021
rwanda,34.4,2022,34.4,2022,3900000.0,2021
saint kitts and nevis,76.5,2022,76.5,2022,37920.0,2021
saint lucia,75.8,2020,74.2,2022,140400.0,2021
saint vincent and the grenadines,78.7,2021,77.7,2022,85000.0,2021
samoa,76.3,2021,75.3,2022,171600.0,2021
san marino,85.1,2022,85.1,2022,25500.0,2021
sao tome and principe,57.0,2022,57.0,2022,112200.0,2021
saudi arabia,100.0,2021,100.0,2023,36000000.0,2021
senegal,60.0,2022,60.0,2022,9860000.0,2021
serbia,85.4,2023,85.4,2023,5589000.0,2021
seychelles,86.7,2022,86.7,2022,90200.0,2021
sierra leone,30.4,2022,30.4,2022,1047499.0,2022
singapore,96.9,2021,94.3,2023,5369000.0,2021
slovakia,89.9,2020,87.2,2023,4806000.0,2021
slovenia,90.4,2023,90.4,2023,1869000.0,2021
solomon islands,47.3,2021,45.0,2022,255600.0,2021
north korea,55.2,2025,55.2,2025,10200000.0,2025
south africa,74.7,2022,74.7,2022,42480000.0,2021
south korea,97.6,2021,97.4,2023,50960000.0,2021
south sudan,12.1,2022,12.1,2022,869000.0,2021
spain,95.5,2023,95.4,2023,44180000.0,2021
sri lanka,50.1,2022,50.1,2022,14740000.0,2021
sudan,28.7,2022,28.7,2022,13248000.0,2021
suriname,75.8,2022,75.8,2022,402600.0,2021
sweden,95.7,2023,95.7,2023,8800000.0,2021
switzerland,97.3,2023,97.3,2023,8352000.0,2021
syria,35.8,2020,34.7,2019,8492468.0,2022
tajikistan,36.1,2022,36.1,2022,3009054.0,2022
tanzania,31.9,2022,31.9,2022,20480000.0,2021
thailand,89.5,2023,89.5,2023,61200000.0,2021
togo,37.6,2022,37.6,2022,3010000.0,2021
tonga,66.7,2020,57.5,2021,73700.0,2021
trinidad and tobago,80.0,2022,80.0,2022,1185000.0,2021
tunisia,73.8,2022,73.8,2022,9480000.0,2021
turkey,86.0,2023,86.0,2023,68850000.0,2021
turkmenistan,21.3,2017,21.3,2017,1563023.0,2022
tuvalu,82.3,2021,81.2,2022,7920.0,2021
uganda,10.0,2021,10.0,2021,4600000.0,2021
ukraine,79.2,2021,79.2,2021,34596356.0,2021
united arab emirates,100.0,2020,100.0,2023,9400000.0,2021
united kingdom,95.3,2022,95.3,2022,64990000.0,2021
united states,97.1,2022,97.1,2022,312800000.0,2021
uruguay,89.9,2022,89.9,2022,3060000.0,2021
us virgin islands,64.4,2017,64.4,2017,67508.0,2022
uzbekistan,89.0,2023,89.0,2023,26180000.0,2021
vanuatu,69.9,2022,69.9,2022,211200.0,2021
venezuela,61.6,2017,61.6,2017,22734162.0,2022
vietnam,78.6,2022,78.1,2023,71780000.0,2021
yemen,26.7,2017,17.7,2022,8229624.0,2022
zambia,31.2,2022,31.2,2022,3990000.0,2021
zimbabwe,32.6,2022,32.6,2022,5600000.0,2021
